Grand Canyon,36.0544,-112.1401
Oklahoma City,35.4676,-97.5164
Yellowstone,44.4280,-110.5885
Mount Rushmore,43.8791,-103.4591
Minneapolis,44.977753,-93.2650108
Omaha,41.2523634,-95.9979883
Des Moines,41.6005448,-93.6091064
Iowa City,41.6611277,-91.5301683
Kansas City,39.114053,-94.6274636
Albuquerque,35.0853336,-106.6055534
Denver,39.7392358,-104.990251
Phoenix,33.4483771,-112.0740373
Salt Lake City,40.7607793,-111.8910474
Las Vegas,36.1699412,-115.1398296
Anchorage,61.2180556,-149.9002778
Seattle,47.6062095,-122.3320708
Portland,45.5230622,-122.6764816
Sacramento,38.5815719,-121.4943996
San Francisco,37.7749295,-122.4194155
San Jose,37.3382082,-121.8863286
Los Angeles,34.0522342,-118.2436849
San Diego,32.715738,-117.1610838
Tucson,32.2217429,-110.926479
El Paso,31.7775757,-106.4424559
Austin,30.267153,-97.7430608
Houston,29.7604267,-95.3698028
New Orleans,29.9510658,-90.0715323
Memphis,35.1495343,-90.0489801
St. Louis,38.6270025,-90.1994042
Indianapolis,39.768403,-86.158068
Cincinnati,39.1031182,-84.5120196
Louisville,38.2526647,-85.7584557
Nashville,36.1626638,-86.7816016
Atlanta,33.7489954,-84.3879824
Tampa,27.950575,-82.4571776
Miami,25.7616798,-80.1917902
Orlando,28.5383355,-81.3792365
Jacksonville,30.3321838,-81.655651
Charleston,32.7764749,-79.9310512
Baltimore,39.2903848,-76.6121893
Atlantic City,39.3642834,-74.4229266
New York,40.7127837,-74.0059413
Boston,42.3600825,-71.0588801
Niagara Falls,43.0962143,-79.0377388
Pittsburgh,40.4406248,-79.9958864
Columbus,39.9611755,-82.9987942
Toledo,41.6639383,-83.555212
Detroit,42.331427,-83.0457538
South Bend,41.6763545,-86.2519898
Chicago,41.8781136,-87.6297982
Madison,43.07319,-89.4012
Milwaukee,43.0389025,-87.9064736
